Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,53.5396286547184,0.6608946608946609,0.6620296297849586,0.6608946608946609,0.6602997864032307,"[[429, 264], [206, 487]]"
2,35.43732613325119,0.8405483405483406,0.840605787974209,0.8405483405483405,0.8405416168857028,"[[587, 106], [115, 578]]"
3,22.290305741131306,0.9206349206349206,0.9208066609311889,0.9206349206349207,0.9206268221574344,"[[645, 48], [62, 631]]"
4,14.386337533593178,0.9531024531024531,0.9531486880466473,0.9531024531024531,0.9531012568280125,"[[664, 29], [36, 657]]"
5,9.85069421119988,0.9704184704184704,0.9704429599520223,0.9704184704184704,0.9704180854370004,"[[675, 18], [23, 670]]"
6,8.473591916263103,0.9733044733044733,0.9735263236838159,0.9733044733044733,0.9733013461781752,"[[682, 11], [26, 667]]"
7,5.30855109076947,0.9848484848484849,0.9848575712143928,0.9848484848484849,0.984848413862249,"[[684, 9], [12, 681]]"
8,3.470532989129424,0.9935064935064936,0.9935157421289356,0.9935064935064934,0.9935064630838211,"[[690, 3], [6, 687]]"
9,3.3102760585024953,0.9927849927849928,0.9928014109817527,0.9927849927849928,0.9927849326906059,"[[690, 3], [7, 686]]"
10,2.077820279635489,0.9963924963924964,0.9964017991004497,0.9963924963924964,0.9963924794910117,"[[692, 1], [4, 689]]"
