Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,50.463924795389175,0.6904761904761905,0.6907657657657658,0.6904761904761905,0.6903586844954372,"[[465, 228], [201, 492]]"
2,27.204902227967978,0.873015873015873,0.8731277533039647,0.873015873015873,0.8730063534306651,"[[599, 94], [82, 611]]"
3,13.346355678513646,0.9451659451659452,0.9451807768312466,0.9451659451659451,0.9451654884486043,"[[653, 40], [36, 657]]"
4,6.277788047213107,0.9826839826839827,0.9826880029984695,0.9826839826839826,0.9826839466275756,"[[682, 11], [13, 680]]"
5,3.3748288536444306,0.987012987012987,0.987012987012987,0.987012987012987,0.987012987012987,"[[684, 9], [9, 684]]"
6,1.0201180960284546,0.9971139971139971,0.9971181376172578,0.9971139971139971,0.9971139911045959,"[[692, 1], [3, 690]]"
7,0.5973315286100842,0.9985569985569985,0.9985569985569985,0.9985569985569985,0.9985569985569985,"[[692, 1], [1, 692]]"
8,0.1272560001234524,1.0,1.0,1.0,1.0,"[[693, 0], [0, 693]]"
9,0.06628471097792499,1.0,1.0,1.0,1.0,"[[693, 0], [0, 693]]"
10,0.04609620783594437,1.0,1.0,1.0,1.0,"[[693, 0], [0, 693]]"
