Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,39.33233845233917,0.698076923076923,0.6982206036920253,0.698076923076923,0.6980222007686304,"[[370, 150], [164, 356]]"
2,23.570816718041897,0.8615384615384616,0.8618810708362947,0.8615384615384616,0.8615056818181819,"[[440, 80], [64, 456]]"
3,13.802672021090984,0.9221153846153847,0.9223043595691859,0.9221153846153847,0.9221066705872236,"[[474, 46], [35, 485]]"
4,8.332218548282981,0.9548076923076924,0.9549439736015597,0.9548076923076922,0.9548043076450807,"[[492, 28], [19, 501]]"
5,4.971831001341343,0.9788461538461538,0.9789099140418103,0.9788461538461539,0.9788454497376022,"[[506, 14], [8, 512]]"
6,3.1248296089470387,0.989423076923077,0.989424886926357,0.989423076923077,0.9894230671441079,"[[514, 6], [5, 515]]"
7,2.6002959539182484,0.989423076923077,0.989424886926357,0.989423076923077,0.9894230671441079,"[[514, 6], [5, 515]]"
8,2.5144597669132054,0.9913461538461539,0.991347970961431,0.9913461538461539,0.9913461458451793,"[[515, 5], [4, 516]]"
9,1.340400229441002,0.9951923076923077,0.9951941390315793,0.9951923076923077,0.9951923032473218,"[[518, 2], [3, 517]]"
10,0.5540297215338796,0.9990384615384615,0.9990403071017274,0.9990384615384615,0.9990384606494643,"[[520, 0], [1, 519]]"
