Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,42.4336724281311,0.6403846153846153,0.6404864472768723,0.6403846153846153,0.6403194365842924,"[[326, 194], [180, 340]]"
2,28.789574414491653,0.8259615384615384,0.8272796135323102,0.8259615384615384,0.8257861326724114,"[[413, 107], [74, 446]]"
3,17.479158081114292,0.9086538461538461,0.9086916319926028,0.9086538461538461,0.9086517347386913,"[[470, 50], [45, 475]]"
4,10.69936728477478,0.9519230769230769,0.9520902700702922,0.9519230769230769,0.9519186315302821,"[[490, 30], [20, 500]]"
5,7.512832552194595,0.9673076923076923,0.9673146052456397,0.9673076923076923,0.9673075714037405,"[[502, 18], [16, 504]]"
6,6.370936915278435,0.975,0.9750070267311647,0.975,0.9749999075440368,"[[506, 14], [12, 508]]"
7,3.1483837738633156,0.9884615384615385,0.9884615384615385,0.9884615384615385,0.9884615384615385,"[[514, 6], [6, 514]]"
8,2.60500645916909,0.9913461538461539,0.9913625083675122,0.9913461538461539,0.9913460818368496,"[[517, 3], [6, 514]]"
9,2.372023199684918,0.9884615384615385,0.9884615384615385,0.9884615384615385,0.9884615384615385,"[[514, 6], [6, 514]]"
10,0.5906003694981337,0.9990384615384615,0.9990403071017274,0.9990384615384615,0.9990384606494643,"[[519, 1], [0, 520]]"
