Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,39.60268995165825,0.6625,0.6639558356561032,0.6625000000000001,0.6617491306051988,"[[369, 151], [200, 320]]"
2,23.32390458881855,0.8615384615384616,0.8621867543976645,0.8615384615384616,0.8614764743098798,"[[437, 83], [61, 459]]"
3,13.246874269098043,0.9307692307692308,0.9315416648142385,0.9307692307692308,0.9307382371549399,"[[473, 47], [25, 495]]"
4,7.2764602759853005,0.9605769230769231,0.9613293129697473,0.960576923076923,0.9605608425772713,"[[489, 31], [10, 510]]"
5,3.536784198367968,0.9865384615384616,0.9865672525001479,0.9865384615384616,0.9865382624003314,"[[511, 9], [5, 515]]"
6,0.9406034430721775,0.9980769230769231,0.9980842911877394,0.9980769230769231,0.9980769159649259,"[[518, 2], [0, 520]]"
7,0.28253533015958965,1.0,1.0,1.0,1.0,"[[520, 0], [0, 520]]"
8,0.10856190929189324,1.0,1.0,1.0,1.0,"[[520, 0], [0, 520]]"
9,0.06360403529834002,1.0,1.0,1.0,1.0,"[[520, 0], [0, 520]]"
10,0.0460619582736399,1.0,1.0,1.0,1.0,"[[520, 0], [0, 520]]"
