Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,46.61107778549194,0.66996699669967,0.6759780316443562,0.66996699669967,0.6671244163691293,"[[462, 144], [256, 350]]"
2,30.452386394143105,0.8358085808580858,0.8364765202301729,0.8358085808580857,0.8357270563234949,"[[520, 86], [113, 493]]"
3,18.375644899904728,0.9224422442244224,0.9225573084633487,0.9224422442244224,0.9224369640343019,"[[564, 42], [52, 554]]"
4,12.353748433291912,0.9537953795379538,0.9538003224119902,0.9537953795379538,0.9537952537203698,"[[579, 27], [29, 577]]"
5,8.552656402811408,0.9661716171617162,0.9662338263609551,0.9661716171617162,0.9661704887006899,"[[589, 17], [24, 582]]"
6,4.292239409871399,0.9892739273927392,0.9893072375282875,0.9892739273927393,0.9892737448422956,"[[602, 4], [9, 597]]"
7,2.8086005272343755,0.9925742574257426,0.9925755987310578,0.9925742574257426,0.992574252370582,"[[602, 4], [5, 601]]"
8,1.3143086000345647,0.9975247524752475,0.9975369458128078,0.9975247524752475,0.9975247373096836,"[[606, 0], [3, 603]]"
9,3.835458951536566,0.9843234323432343,0.9843353021428163,0.9843234323432343,0.9843233362946624,"[[598, 8], [11, 595]]"
10,5.19392029941082,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.9801980198019802,"[[594, 12], [12, 594]]"
