Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,44.57934457063675,0.6740924092409241,0.6742637137989778,0.6740924092409242,0.6740122962066155,"[[399, 207], [188, 418]]"
2,26.615894854068756,0.8597359735973598,0.859751647513752,0.8597359735973598,0.8597344457999303,"[[523, 83], [87, 519]]"
3,13.28845715150237,0.9455445544554455,0.9457193292144749,0.9455445544554455,0.9455392156862745,"[[579, 27], [39, 567]]"
4,7.42827945202589,0.971947194719472,0.9721323265012586,0.971947194719472,0.9719444444444445,"[[595, 11], [23, 583]]"
5,4.722833759151399,0.9843234323432343,0.9843247511811237,0.9843234323432344,0.9843234216712289,"[[597, 9], [10, 596]]"
6,3.7826005620881915,0.9834983498349835,0.9835194161538043,0.9834983498349834,0.9834981700941094,"[[598, 8], [12, 594]]"
7,2.5650601075030863,0.9892739273927392,0.9892859185190632,0.9892739273927392,0.9892738616752954,"[[598, 8], [5, 601]]"
8,1.651081703370437,0.9942244224422442,0.9942257682410446,0.9942244224422443,0.9942244185104527,"[[603, 3], [4, 602]]"
9,0.533813509857282,0.9991749174917491,0.999176276771005,0.9991749174917492,0.9991749169300647,"[[606, 0], [1, 605]]"
10,0.3364707625005394,0.9991749174917491,0.999176276771005,0.9991749174917492,0.9991749169300647,"[[606, 0], [1, 605]]"
