Epoch,Loss,Accuracy,Precision,Recall,F1_score,Confusion_Matrix
1,47.357566177845,0.650990099009901,0.6510826650972314,0.650990099009901,0.6509366325348824,"[[402, 204], [219, 387]]"
2,28.68822529911995,0.8473597359735974,0.8478608262182069,0.8473597359735974,0.8473047469550502,"[[502, 104], [81, 525]]"
3,17.696790132671595,0.9125412541254125,0.9125816993464052,0.9125412541254125,0.9125391106863057,"[[550, 56], [50, 556]]"
4,7.23381426744163,0.9711221122112211,0.9712260489439065,0.9711221122112211,0.9711205197489488,"[[584, 22], [13, 593]]"
5,4.046531818807125,0.9851485148514851,0.9851537992331822,0.9851485148514851,0.9851484744101189,"[[596, 10], [8, 598]]"
6,1.2592377315741032,0.995049504950495,0.995049504950495,0.995049504950495,0.995049504950495,"[[603, 3], [3, 603]]"
7,0.8180977525189519,0.9966996699669967,0.9966996699669967,0.9966996699669967,0.9966996699669967,"[[604, 2], [2, 604]]"
8,1.2480951500474475,0.9958745874587459,0.9958759377510313,0.9958745874587458,0.9958745846503234,"[[603, 3], [2, 604]]"
9,0.8471173621946946,0.9966996699669967,0.9966996699669967,0.9966996699669967,0.9966996699669967,"[[604, 2], [2, 604]]"
10,0.11269654089119285,1.0,1.0,1.0,1.0,"[[606, 0], [0, 606]]"
